1,9,346,313,21,17,1,-1,-1,-1
1,8,566,304,20,20,1,-1,-1,-1
1,7,524,316,33,23,1,-1,-1,-1
1,6,595,299,25,27,1,-1,-1,-1
1,5,718,273,36,43,1,-1,-1,-1
1,4,834,261,41,60,1,-1,-1,-1
1,3,514,382,52,44,1,-1,-1,-1
1,2,801,389,54,42,1,-1,-1,-1
1,1,380,396,65,51,1,-1,-1,-1
2,10,0,291,26,18,1,-1,-1,-1
2,9,346,313,21,17,1,-1,-1,-1
2,8,566,303,19,20,1,-1,-1,-1
2,7,523,316,31,22,1,-1,-1,-1
2,6,593,301,23,24,1,-1,-1,-1
2,5,718,273,35,42,1,-1,-1,-1
2,4,834,261,41,59,1,-1,-1,-1
2,3,511,384,54,44,1,-1,-1,-1
2,2,799,388,53,40,1,-1,-1,-1
2,1,373,399,67,51,1,-1,-1,-1
3,9,346,313,21,17,1,-1,-1,-1
3,8,566,303,18,19,1,-1,-1,-1
3,7,521,317,32,23,1,-1,-1,-1
3,6,593,302,22,24,1,-1,-1,-1
3,5,717,273,36,41,1,-1,-1,-1
3,4,834,261,41,59,1,-1,-1,-1
3,3,508,386,54,46,1,-1,-1,-1
3,2,798,385,50,40,1,-1,-1,-1
3,1,368,402,67,53,1,-1,-1,-1
4,9,346,313,21,17,1,-1,-1,-1
4,8,565,306,19,16,1,-1,-1,-1
4,7,521,318,31,23,1,-1,-1,-1
4,6,592,303,23,25,1,-1,-1,-1
4,5,717,273,35,40,1,-1,-1,-1
4,4,835,261,40,59,1,-1,-1,-1
4,3,505,389,54,47,1,-1,-1,-1
4,2,796,383,50,38,1,-1,-1,-1
4,1,362,406,68,55,1,-1,-1,-1
5,9,346,313,21,17,1,-1,-1,-1
5,8,565,306,18,16,1,-1,-1,-1
5,6,591,304,25,25,1,-1,-1,-1
5,5,716,274,35,39,1,-1,-1,-1
5,4,835,261,40,59,1,-1,-1,-1
5,3,501,392,57,49,1,-1,-1,-1
5,2,794,381,49,38,1,-1,-1,-1
5,1,355,410,71,56,1,-1,-1,-1
6,9,346,313,21,17,1,-1,-1,-1
6,8,563,306,20,16,1,-1,-1,-1
6,6,590,305,25,25,1,-1,-1,-1
6,5,716,273,35,39,1,-1,-1,-1
6,4,835,261,39,59,1,-1,-1,-1
6,3,498,396,58,50,1,-1,-1,-1
6,2,792,379,47,37,1,-1,-1,-1
6,1,347,414,73,57,1,-1,-1,-1
